"","Date","Open","High","Low","Close","Adj.Close","Volume","Price","Price_1","Price_2","Price_3","Price_4","Price_5","SMA_5","SMA_10","SMA_50","tr","tr2","tr3","tr4","tr5"
"1250",2018-04-16,7153.870117,7178.509766,7115.850098,7156.279785,7156.279785,1795950000,7156.279785,7281.100098,7295.240234,7238.060059,7146.129883,7128.600098,7223.3620118,7149.498047,0,7106.649902,7140.25,7069.029785,7094.299805,6950.339844
"1249",2018-04-13,7179.620117,7183.620117,7078.140137,7106.649902,7106.649902,1743640000,7106.649902,7156.279785,7281.100098,7295.240234,7238.060059,7146.129883,7215.4660156,7148.1830567,0,7140.25,7069.029785,7094.299805,6950.339844,6915.109863
"1248",2018-04-12,7112.02002,7166,7105.089844,7140.25,7140.25,2021110000,7140.25,7106.649902,7156.279785,7281.100098,7295.240234,7238.060059,7195.9040038,7150.3400391,0,7069.029785,7094.299805,6950.339844,6915.109863,7076.549805
"1247",2018-04-11,7055,7128.540039,7055,7069.029785,7069.029785,1852120000,7069.029785,7140.25,7106.649902,7156.279785,7281.100098,7295.240234,7150.661914,7156.8689942,0,7094.299805,6950.339844,6915.109863,7076.549805,7042.109863
"1246",2018-04-10,7060.990234,7117.97998,7014.879883,7094.299805,7094.299805,2238770000,7094.299805,7069.029785,7140.25,7106.649902,7156.279785,7281.100098,7113.3018554,7165.5639649,0,6950.339844,6915.109863,7076.549805,7042.109863,6941.279785
"1245",2018-04-09,6971.450195,7074.950195,6944.959961,6950.339844,6950.339844,2080900000,6950.339844,7094.299805,7069.029785,7140.25,7106.649902,7156.279785,7072.1138672,7147.7379395,0,6915.109863,7076.549805,7042.109863,6941.279785,6870.120117
"1244",2018-04-06,6999.569824,7066.640137,6877.759766,6915.109863,6915.109863,2350540000,6915.109863,6950.339844,7094.299805,7069.029785,7140.25,7106.649902,7033.8058594,7124.6359375,0,7076.549805,7042.109863,6941.279785,6870.120117,7063.450195
"1243",2018-04-05,7099.25,7112.379883,7036.620117,7076.549805,7076.549805,2124660000,7076.549805,6915.109863,6950.339844,7094.299805,7069.029785,7140.25,7021.0658204,7108.48491210001,0,7042.109863,6941.279785,6870.120117,7063.450195,6949.22998
"1242",2018-04-04,6811.77002,7059.290039,6811.77002,7042.109863,7042.109863,2254070000,7042.109863,7076.549805,6915.109863,6950.339844,7094.299805,7069.029785,7015.681836,7083.17187500001,0,6941.279785,6870.120117,7063.450195,6949.22998,7008.810059
"1241",2018-04-03,6924.350098,6963.709961,6835.22998,6941.279785,6941.279785,2328510000,6941.279785,7042.109863,7076.549805,6915.109863,6950.339844,7094.299805,6985.077832,7049.18984370001,0,6870.120117,7063.450195,6949.22998,7008.810059,7220.540039
"1240",2018-04-02,7016.169922,7044.709961,6805.959961,6870.120117,6870.120117,2394730000,6870.120117,6941.279785,7042.109863,7076.549805,6915.109863,6950.339844,6969.0338866,7020.57387690001,0,7063.450195,6949.22998,7008.810059,7220.540039,6992.669922
"1239",2018-03-29,6984.660156,7120.459961,6935.779785,7063.450195,7063.450195,2554500000,7063.450195,6870.120117,6941.279785,7042.109863,7076.549805,6915.109863,6998.701953,7016.25390620001,0,6949.22998,7008.810059,7220.540039,6992.669922,7166.680176
